"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","delta_c13","depth_interval_notes"
"Krause_et_al_2025","PS","PS2","single set of methods",10.2,14.2,1.041,0.03998,NA,NA,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",14.2,18.6,1.0505,0.03723,NA,NA,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",18.6,26.6,1.09388888888889,0.03814,0.01181,NA,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",26.6,43,1.05922222222222,0.0355,0.01104,-26.15,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",43,64.5,1.07244444444444,0.02035,0.00521,-25.65,"14cm stopper to sed surface. This vial broke in the lab, sample was transferred to new vial and empty weight was corrected"
"Krause_et_al_2025","PS","PS2","single set of methods",64.5,79.5,1.30466666666667,0.05333,0.0042,NA,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS2","single set of methods",79.5,100,1.336,0.01517,0.0039,-26.47,"14cm stopper to sed surface"
"Krause_et_al_2025","PS","PS21","single set of methods",0,3.6,0.84375,0.05267,0.01046,-23.1,NA
"Krause_et_al_2025","PS","PS21","single set of methods",3.6,6.2,0.894333333333333,0.03664,0.01303,NA,NA
"Krause_et_al_2025","PS","PS21","single set of methods",6.2,8.9,1.12635135135135,0.02269,NA,NA,NA
"Krause_et_al_2025","PS","PS21","single set of methods",8.9,13.2,1.23228571428571,0.02447,0.0071,NA,NA
"Krause_et_al_2025","PS","PS21","single set of methods",13.2,21.5,1.09611111111111,0.01641,NA,NA,NA
"Krause_et_al_2025","PS","PS21","single set of methods",21.5,32.5,1.334,0.01835,0.00732,-24.06,NA
"Krause_et_al_2025","PS","PS21","single set of methods",32.5,43.3,1.233375,0.02571,0.01011,NA,NA
"Krause_et_al_2025","PS","PS21","single set of methods",43.3,59.6,1.24811111111111,0.03321,0.00808,-23.07,NA
"Krause_et_al_2025","PS","PS21","single set of methods",59.6,81.4,1.399375,0.01382,0.00461,NA,NA
"Krause_et_al_2025","PS","PS21","single set of methods",81.4,93.6,1.45042857142857,0.0084,0.00267,NA,NA
"Krause_et_al_2025","PS","PS21","single set of methods",93.6,100,1.3848275862069,0.01468,NA,NA,NA
"Krause_et_al_2025","PS","PS4","single set of methods",0,3.5,0.794166666666666,0.05618,0.01757,-23.65,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",3.5,6.2,0.583571428571429,0.09558,0.02942,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",6.2,8.7,0.795444444444445,0.07484,0.02124,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",8.7,12.7,0.8307,0.07458,NA,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",12.7,18.1,0.7507,0.0814,0.0269,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",18.1,26.4,1.0924,0.0453,NA,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",26.4,37.5,1.1854,0.0263,0.00969,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",37.5,54,1.1862,0.02923,0.00764,-25.355,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",54,71.5,1.20677777777778,0.02639,0.01063,NA,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS4","single set of methods",71.5,96,1.32565217391304,0.0225,0.00578,-25.91,"18cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",0,2.9,0.920666666666667,0.0357,0.00767,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",2.9,5.7,0.903888888888889,0.03294,NA,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",5.7,8.5,0.944,0.08632,NA,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",8.5,12.5,1.1172,0.02236,0.00463,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",12.5,17.8,1.16933333333333,0.01648,NA,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",17.8,26,1.271,0.02279,0.00516,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",26,36.9,1.18857142857143,0.0305,0.00756,-25.24,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",36.9,47.9,1.20571428571429,0.02123,0.00648,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",47.9,64.2,1.25771428571429,0.02418,0.00631,-26.69,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",64.2,79.2,1.19314285714286,0.03325,0.00915,NA,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS5","single set of methods",79.2,100,1.2308,0.02894,0.00827,-26.45,"15.2cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",0,2.9,0.871,0.04227,0.01163,-23.89,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",2.9,5.7,1.07588888888889,0.02844,NA,NA,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",5.7,8.4,1.21628571428571,0.02404,0.00691,-25.25,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",8.4,12.4,1.282,0.02145,NA,NA,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",12.4,17.8,1.3922,0.02339,0.00546,NA,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",17.8,25.8,1.24042857142857,0.02444,NA,NA,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",25.8,36.4,1.28211111111111,0.02176,0.00612,-25.5,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",36.4,47.2,1.316,0.02668,0.01446,NA,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",47.2,63.1,1.36325,0.00992,0.0027,-24.955,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",63.1,78.9,1.38557142857143,0.00808,0.00311,NA,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS7","single set of methods",78.9,100,1.39144444444444,0.00944,0.00153,-26.53,"10cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",0,2.8,1.16125,0.01923,0.00424,-21.94,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",2.8,5.4,1.21616666666667,0.01542,NA,NA,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",5.4,8.3,1.28785714285714,0.01521,NA,NA,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",8.3,12.2,1.25325,0.02189,0.00591,NA,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",12.2,17.5,1.26088888888889,0.02289,NA,NA,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",17.5,25.7,1.30522222222222,0.02136,0.00538,NA,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",25.7,36.4,1.38333333333333,0.01677,0.00304,-23.53,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",36.4,47.1,1.395,0.02113,0.00452,NA,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",47.1,62.6,1.4002,0.01614,0.00287,-23.55,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",62.6,80.8,1.390125,0.01366,0.00203,NA,"5cm stopper to sed surface"
"Krause_et_al_2025","PS","PS9","single set of methods",80.8,100,1.45625,0.01554,0.00192,-23.95,"5cm stopper to sed surface"
