"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","delta_c13","depth_interval_notes"
"Krause_et_al_2025","PD","PD23","single set of methods",15.4,24.9,0.7956,0.06324,NA,NA,"1.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD23","single set of methods",24.9,35.5,0.7722,0.09011,0.03429,-27.43,"1.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD23","single set of methods",35.5,46.4,1.0048,0.03992,0.01414,NA,"1.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD23","single set of methods",46.4,62.3,1.0849,0.04149,0.01467,-26.1,"1.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD23","single set of methods",62.3,80.7,1.04111111111111,0.04419,0.01718,NA,"1.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD23","single set of methods",80.7,100,1.04,0.0445,0.01478,-26.46,"1.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",0,3.7,0.674,0.06805,0.01935,-24.67,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",3.7,6.3,0.9424,0.05667,NA,NA,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",6.3,9,0.699444444444444,0.07784,0.02243,NA,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",9,13.1,1.23344827586207,0.0691,NA,NA,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",13.1,18.4,0.8475,0.03255,0.02179,NA,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",18.4,26.5,0.803666666666667,0.06913,NA,NA,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",26.5,37.3,0.968444444444444,0.03605,0.01548,-26.2,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",37.3,47.8,1.0363,0.04862,0.01565,NA,"10.4cm stopper to sed surface"
