study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,percent_organic_carbon
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0_1,single set of methods,0,5,UPR_SM_T2_D0_0_5,0.5980000000000001,2.36
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0_1,single set of methods,5,10,UPR_SM_T2_D0_5_10,0.6666000000000001,1.82
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0_1,single set of methods,10,20,UPR_SM_T2_D0_10_20,0.8263799999999999,1.25
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T2_D0_1,single set of methods,20,50,UPR_SM_T2_D0_20_50,1.04292,0.59
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D5_1,single set of methods,0,5,UPR_SM_T3_D5_0_5,0.4686,8.04
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D5_1,single set of methods,5,10,UPR_SM_T3_D5_5_10,1.0499499999999997,1.36
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D5_1,single set of methods,10,20,UPR_SM_T3_D5_10_20,1.00406,1.04
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D5_1,single set of methods,20,50,UPR_SM_T3_D5_20_50,1.1762799999999998,0.65
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D3_1,single set of methods,0,5,UPR_SM_T3_D3_0_5,0.475,5.33
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D3_1,single set of methods,5,10,UPR_SM_T3_D3_5_10,0.9303000000000001,2.26
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D3_1,single set of methods,10,20,UPR_SM_T3_D3_10_20,0.9569,1.4
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D3_1,single set of methods,20,50,UPR_SM_T3_D3_20_50,1.17774,1.05
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D1_1,single set of methods,0,5,UPR_SM_T3_D1_0_5,0.5991,3.53
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D1_1,single set of methods,5,10,UPR_SM_T3_D1_5_10,0.7306999999999999,2.41
