"study_id","site_id","plot_id","plant_id","year","month","day","species","plot_radius","alive_or_dead","decay_class","diameter","diameter_height","diameter_flag","basal_area","basal_density","total_height","canopy_height","height_method","canopy_quality","plant_AGB_kg_general","plant_AGC_kg_general","plant_AGB_kg_species","plant_AGC_kg_species","plant_BGB_kg","plant_BGC_kg","plant_notes"
"Romero_et_al_2025","R1","1","R1_1_12",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"7.2","1.3","DBH","4.0694400000000006E-3","40.694400000000009","4","3","clinometer","medium","19.199818932455674","9.40791127690328","14.179974300079323","6.6645879210372811","14.052675785006592","5.480543556152571","hongos"
"Romero_et_al_2025","R1","1","R1_1_15",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"7.5","1.3","DBH","4.4156250000000003E-3","44.15625","4","3","clinometer","medium","21.237574540559574","10.4064115248742","15.729195552307381","7.392721909584469","15.385686863877549","6.0004178769122438","hongos"
"Romero_et_al_2025","R1","1","R1_1_2",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"7.6","1.3","DBH","4.5341599999999998E-3","45.3416","4","1.6","clinometer","low","21.944157964705994","10.7526374027059","16.267373086919157","7.6456653508520036","15.844810860243619","6.1794762354950121","plaga insectos, hongos"
"Romero_et_al_2025","R1","1","R1_1_8",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"7.9","1.3","DBH","4.8991850000000003E-3","48.991850000000007","3.8","3","clinometer","medium","24.147105352760931","11.8320816228529","17.948316310223213","8.4357086658049099","17.266846459224908","6.7340701190977139","hongos"
"Romero_et_al_2025","R1","1","R1_1_16",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"9.3","1.3","DBH","6.7894650000000015E-3","67.894650000000013","4","2.5","clinometer","medium","36.136817316260647","17.7070404849677","27.164242079937974","12.767193777570848","24.803503554777112","9.6733663863630746","hongos"
"Romero_et_al_2025","R1","2","R1_2_4",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"13.9","3.2","diameter above lowest prop root","1.5166985000000003E-2","151.66985000000003","12","9","clinometer","medium","97.547940740859659","47.7984909630212","119.96331279055954","58.782023267374171","62.802440430254016","24.492951767799067","hongos"
"Romero_et_al_2025","R1","2","R1_2_11",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"14","2.5","diameter above lowest prop root","1.5386000000000002E-2","153.86000000000001","8","3","clinometer","medium","99.291234532016077","48.6527049206879","122.22016407684028","59.887880397651735","63.809876325858184","24.885851767084691","sano"
"Romero_et_al_2025","R1","2","R1_2_7",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"18","3","diameter above lowest prop root","2.5434000000000002E-2","254.34","22","17","clinometer","medium","184.75954942386755","90.5321792176951","234.919183610533","115.11039996916116","111.47786048364615","43.476365588622002","plaga insectos, hongos"
"Romero_et_al_2025","R1","2","R1_2_10",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"25","2","diameter above lowest prop root","4.9062500000000002E-2","490.625","25","20","clinometer","high","416.04307323725936","203.861105886257","551.8918645844858","270.42701364639805","231.15882749656569","90.151942723660625","sano"
"Romero_et_al_2025","R1","2","R1_2_3",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"33","2","diameter above lowest prop root","8.5486500000000007E-2","854.86500000000012","29","25","clinometer","high","826.18342866681462","404.829880046739","1135.9159907595188","556.59883547216418","428.13882241394998","166.97414074144049","sano"
