"study_id","site_id","plot_id","core_id","representative_depth_min","representative_depth_max","sediment_dry_weight","dry_bulk_density","fraction_carbon","fraction_h2o","depth_interval_notes","soil_color","soil_carbon_density","interval_carbon_stock"
"Romero_et_al_2025","SL7","3","SL7-3","15","30","61.61",0.558719506665458,0.0461,0.437167388064997,"Raíces y dos raíz grandes","Gray",0.02576,0.38635
"Romero_et_al_2025","SL7","3","SL7-3","30","50","61.32",0.552332912988651,0.0493,0.424066390041494,"Raíces y tres raíz grandes","Gray",0.02723,0.5446
"Romero_et_al_2025","SL7","3","SL7-3","50","100","31.39",0.281322817709267,0.0941,0.292598806860552,"Raíces y cinco raíz grandes","Gray",0.02647,1.32362
"Romero_et_al_2025","SL7","4","SL7-4","0","15","45.9",0.434864992894363,0.0802,0.374418794355168,"Raíces y una raíz grande","Gray",0.03488,0.52314
"Romero_et_al_2025","SL7","4","SL7-4","15","30","41.68",0.377981318581663,0.08439999999999999,0.329329962073325,"Raíces y una raíz grande","Gray",0.0319,0.47852
"Romero_et_al_2025","SL7","4","SL7-4","30","50","52.66",0.474328949738786,0.0699,0.371945189998587,"Raíces","Gray",0.03316,0.66311
"Romero_et_al_2025","SL7","4","SL7-4","50","100","36.68",0.328732747804266,0.0771,0.311719214753123,"Raíces y tres raíz grandes","Gray",0.02535,1.26726
"Romero_et_al_2025","SL7","5","SL7-5","0","15","36.07",0.341733775461866,0.142,0.296384552177486,"Raíces y una raíz grande","Gray",0.04853,0.72789
"Romero_et_al_2025","SL7","5","SL7-5","15","30","30.38",0.275505577219552,0.12890000000000001,0.27268647338659,"Raíces y tres raíz grandes","Gray",0.03551,0.53269
"Romero_et_al_2025","SL7","5","SL7-5","30","50","37.61",0.338767789587462,0.10710000000000001,0.295026670850329,"Raíces y una raíz grande","Gray",0.03628,1.8141
"Romero_et_al_2025","SL7","5","SL7-5","50","100","41.95",0.375963434307224,0.0689,0.34114011547531903,"50% raíz","Gray",0.0259,2.59039
"Romero_et_al_2025","SL7","6","SL7-6","0","15","26.29",0.249076267171956,0.2189,0.21680686128979001,"Pocas raíces","Very dark gray",0.05452,0.81784
"Romero_et_al_2025","SL7","6","SL7-6","15","30","27.74",0.251564342069466,0.1996,0.21875246431669398,"Pocas raíces","Very dark gray",0.05021,0.75318
"Romero_et_al_2025","SL7","6","SL7-6","30","50","26.51",0.238785804359575,0.2079,0.220916666666667,"Pocas raíces","Very dark gray",0.04964,0.99287
"Romero_et_al_2025","SL7","6","SL7-6","50","100","46.93",0.420595088725578,0.06570000000000001,0.34313080353878805,"Pocas raíces y una raíz grande","Gray",0.02763,1.38165
