"study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_1","single set of methods",10,20,"UPR_SM_T2_D0.5_10_20",0.7711999999999999,0.0141
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_1","single set of methods",20,50,"UPR_SM_T2_D0.5_20_50",1.11926,0.0058
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_1","single set of methods",0,5,"UPR_SM_T2_D0_0_5",0.5980000000000001,0.0236
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_1","single set of methods",5,10,"UPR_SM_T2_D0_5_10",0.6666000000000001,0.0182
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_1","single set of methods",10,20,"UPR_SM_T2_D0_10_20",0.8263799999999999,0.0125
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_1","single set of methods",20,50,"UPR_SM_T2_D0_20_50",1.04292,0.0059
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D5_1","single set of methods",0,5,"UPR_SM_T3_D5_0_5",0.4686,0.08039999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D5_1","single set of methods",5,10,"UPR_SM_T3_D5_5_10",1.0499499999999995,0.013600000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D5_1","single set of methods",10,20,"UPR_SM_T3_D5_10_20",1.00406,0.0104
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D5_1","single set of methods",20,50,"UPR_SM_T3_D5_20_50",1.1762799999999998,0.006500000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D3_1","single set of methods",0,5,"UPR_SM_T3_D3_0_5",0.475,0.0533
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D3_1","single set of methods",5,10,"UPR_SM_T3_D3_5_10",0.9303,0.0226
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D3_1","single set of methods",10,20,"UPR_SM_T3_D3_10_20",0.9569,0.013999999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D3_1","single set of methods",20,50,"UPR_SM_T3_D3_20_50",1.17774,0.0105
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D1_1","single set of methods",0,5,"UPR_SM_T3_D1_0_5",0.5991,0.0353
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D1_1","single set of methods",5,10,"UPR_SM_T3_D1_5_10",0.7306999999999999,0.0241
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D1_1","single set of methods",10,20,"UPR_SM_T3_D1_10_20",0.8102800000000001,0.015
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D1_1","single set of methods",20,50,"UPR_SM_T3_D1_20_50",1.0805,0.0078000000000000005
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0.5_1","single set of methods",0,5,"UPR_SM_T3_D0.5_0_5",0.5502105263157895,0.0277
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0.5_1","single set of methods",5,10,"UPR_SM_T3_D0.5_5_10",0.6978499999999996,0.026699999999999998
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0.5_1","single set of methods",10,20,"UPR_SM_T3_D0.5_10_20",0.85178,0.0149
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0.5_1","single set of methods",20,50,"UPR_SM_T3_D0.5_20_50",1.1244599999999998,0.0072
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0_1","single set of methods",0,5,"UPR_SM_T3_D0_0_5",0.8847272727272727,0.0092
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0_1","single set of methods",5,10,"UPR_SM_T3_D0_5_10",0.82195,0.016200000000000003
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0_1","single set of methods",10,20,"UPR_SM_T3_D0_10_20",0.916,0.0085
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0_1","single set of methods",20,50,"UPR_SM_T3_D0_20_50",1.01792,0.006999999999999999
