"study_id","site_id","core_id","habitat","species_code","code_type"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T1_D3_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T1_D1_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T1_D0.5_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D5_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D5_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D5_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D3_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D3_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D3_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D1_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D1_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D1_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D5_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D3_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D1_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D0.5_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D5_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D5_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D5_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D3_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D3_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D3_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D1_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D1_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D1_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0.5_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0.5_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0.5_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0_2","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0_2","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T3_D0_2","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T3_D5_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T3_D3_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T3_D1_2","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T3_D0.5_2","seagrass","Zostera capensis","Genus species"
