"study_id","site_id","latitude","longitude","position_notes"
"Romero_et_al_2025_Montijo","Rio Guabo",7.795814818499445,-81.17564069896054,"coordinates are site-level resolution"
"Romero_et_al_2025_Montijo","Palmas Bella",7.812477720047136,-81.17343449108897,"coordinates are site-level resolution"
"Romero_et_al_2025_Montijo","Saino",7.750429110896602,-81.18480873349739,"coordinates are site-level resolution"
"Romero_et_al_2025_Montijo","Rio Cañaza",7.739774473482519,-81.20231588332416,"coordinates are site-level resolution"
