"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","R3","R3-6","single set of methods",30,50,0.375427850837687,0.067,"Raíces y una raíz grande"
"Romero_et_al_2025","R4","R4-1","single set of methods",0,15,0.548365703458077,0.0504,"Raíces"
"Romero_et_al_2025","R4","R4-1","single set of methods",15,30,0.499591910764487,0.0523,"Raíces"
"Romero_et_al_2025","R4","R4-2","single set of methods",0,15,0.319753671245855,0.1325,"Raíces y una raíz grande"
"Romero_et_al_2025","R4","R4-2","single set of methods",15,30,0.312596354402829,0.14300000000000002,"Raíces"
"Romero_et_al_2025","R4","R4-2","single set of methods",30,50,0.342731039452351,0.1138,"Raíces y una raíz grande"
"Romero_et_al_2025","R4","R4-3","single set of methods",0,15,0.312363808621506,0.1286,"Raíces y una raíz grande"
"Romero_et_al_2025","R4","R4-3","single set of methods",15,30,0.341343973882289,0.1174,"Raíces y una raíz grande"
"Romero_et_al_2025","R4","R4-3","single set of methods",30,50,0.406593406593407,0.1139,"Pocas raíces y una concha de 0.8cm"
"Romero_et_al_2025","R4","R4-3","single set of methods",50,100,0.40831690267073,0.1245,"Raíces"
"Romero_et_al_2025","R4","R4-4","single set of methods",0,15,0.455329227854098,0.07690000000000001,"Raíces"
"Romero_et_al_2025","R4","R4-4","single set of methods",15,30,0.443910401741181,0.0771,"Raíces y una raíz grande"
"Romero_et_al_2025","R4","R4-4","single set of methods",30,50,0.609079445145019,0.0747,"25% raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-1","single set of methods",0,15,0.511416390336333,0.0483,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-1","single set of methods",15,30,0.44091774734742,0.05019999999999999,"Pocas raíces"
"Romero_et_al_2025","R5","R5-1","single set of methods",30,50,0.439650513421005,0.0565,"Pocas raíces"
"Romero_et_al_2025","R5","R5-2","single set of methods",0,15,0.428612032212222,0.0874,"Exoesqueleto de insecto de 2 cm, raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-2","single set of methods",15,30,0.415162782261721,0.08810000000000001,"Raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-2","single set of methods",30,50,0.390830480994415,0.07980000000000001,"Pocas raíces"
"Romero_et_al_2025","R5","R5-2","single set of methods",50,100,0.393977415307403,0.0626,"Pocas raíces"
"Romero_et_al_2025","R5","R5-3","single set of methods",0,15,0.401326385599242,0.1277,"Raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-3","single set of methods",15,30,0.376983767117076,0.1111,"Raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-3","single set of methods",30,50,0.340299045217078,0.1115,"Raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-3","single set of methods",50,100,0.357770209715003,0.1229,"Raíces"
"Romero_et_al_2025","R5","R5-4","single set of methods",0,15,0.419043107531975,0.1239,"Raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-4","single set of methods",15,30,0.391674979595538,0.1025,"Raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-4","single set of methods",30,50,0.390830480994415,0.1322,"Raíces"
"Romero_et_al_2025","R5","R5-4","single set of methods",50,100,0.391826492202904,0.1081,"30% raíces"
"Romero_et_al_2025","R5","R5-5","single set of methods",0,15,0.416295594504974,0.1049,"Raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-5","single set of methods",15,30,0.406638251564342,0.1029,"Raíces"
"Romero_et_al_2025","R5","R5-5","single set of methods",30,50,0.489641506034949,0.0962,"Raíces"
"Romero_et_al_2025","R5","R5-5","single set of methods",50,100,0.403925434665711,0.1117,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","R5","R5-6","single set of methods",0,15,0.350639507342492,0.0523,"Pocas raíces"
"Romero_et_al_2025","R5","R5-6","single set of methods",15,30,0.309150267525166,0.0802,"30% raíces"
"Romero_et_al_2025","R5","R5-6","single set of methods",30,50,0.378039992794091,0.0799,"Pocas raíces"
