"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","SL11","SL11-1A","single set of methods",50,100,0.929198781143574,0.0158,"0.1% raíces"
"Romero_et_al_2025","SL11","SL11-1B","single set of methods",0,15,0.696920890573188,0.0335,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1B","single set of methods",15,30,0.664006529427768,0.0331,"Poca raíz, una hoja y una raíz grande"
"Romero_et_al_2025","SL11","SL11-1B","single set of methods",30,50,0.602954422626554,0.033,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1B","single set of methods",50,100,0.864133357232479,0.0159,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1C","single set of methods",0,15,0.720701089531028,0.0301,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1C","single set of methods",15,30,0.708080166863154,0.0305,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1C","single set of methods",30,50,0.721131327688705,0.0325,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1C","single set of methods",50,100,0.741620362072056,0.0185,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-2","single set of methods",0,15,0.652771198484131,0.0327,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-2","single set of methods",15,30,0.675614401015689,0.027,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-2","single set of methods",30,50,0.777067195099982,0.02009999999999999,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-2","single set of methods",50,100,0.655852303280158,0.0406,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3A","single set of methods",0,15,0.546470866887731,0.0339,"Poca raíz, concha de 1cm"
"Romero_et_al_2025","SL11","SL11-3A","single set of methods",15,30,0.632356942051329,0.0298,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3A","single set of methods",30,50,0.610700774635201,0.0348,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3A","single set of methods",50,100,0.602079225667682,0.0342,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3B","single set of methods",0,15,0.71956418758882,0.0373,"Poca raíz y una concha de 0,5 cm"
"Romero_et_al_2025","SL11","SL11-3B","single set of methods",15,30,0.742722408633354,0.0232,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3B","single set of methods",30,50,0.682219419924338,0.0319,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3B","single set of methods",50,100,0.786610503674494,0.0253,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3C","single set of methods",0,15,0.676077688299384,0.0321,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3C","single set of methods",15,30,0.696381608778453,0.0288,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3C","single set of methods",30,50,0.623491262835525,0.0378,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-3C","single set of methods",50,100,0.756856067395591,0.0266,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-4","single set of methods",0,15,0.576693510184747,0.045,"5% raíz y un caracol de medio cm"
"Romero_et_al_2025","SL11","SL11-4","single set of methods",15,30,0.774462682506575,0.0225,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-4","single set of methods",30,50,0.668438119257792,0.03029999999999999,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-4","single set of methods",50,100,0.80767162573938,0.0264,"5% raíz"
"Romero_et_al_2025","SL11","SL11-5","single set of methods",0,15,0.690004737091426,0.0378,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-5","single set of methods",15,30,0.561168042078535,0.0434,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-5","single set of methods",30,50,0.644208250765628,0.0334,"2% raíz"
"Romero_et_al_2025","SL11","SL11-5","single set of methods",50,100,0.684172790822728,0.0387,"2% raíz"
"Romero_et_al_2025","SL11","SL11-6A","single set of methods",0,15,0.568356229275225,0.0364,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6A","single set of methods",15,30,0.664459961911671,0.0275,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6A","single set of methods",30,50,0.605746712304089,0.0389,"1% raíz"
"Romero_et_al_2025","SL11","SL11-6A","single set of methods",50,100,0.612654597598136,0.044,"5% raíz"
"Romero_et_al_2025","SL11","SL11-6B","single set of methods",0,15,0.505163429654192,0.0432,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6B","single set of methods",15,30,0.604788247030017,0.0315,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6B","single set of methods",30,50,0.587281570888128,0.0407,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6B","single set of methods",50,100,0.718408316902671,0.0262,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6C","single set of methods",0,15,0.47901468498342,0.04559999999999999,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6C","single set of methods",15,30,0.436383422508389,0.0581,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6C","single set of methods",30,50,0.526481715006305,0.0469,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-6C","single set of methods",50,100,0.709535759096612,0.0275,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-1A","single set of methods",0,15,0.36854571293226,0.071,"Raíces y un raíz grande"
"Romero_et_al_2025","SL12","SL12-1A","single set of methods",15,30,0.245941779269067,0.111,"Raíces y un raíz grande"
"Romero_et_al_2025","SL12","SL12-1A","single set of methods",30,50,0.274364979283012,0.12710000000000002,"Raíces y un raíz grande"
"Romero_et_al_2025","SL12","SL12-1A","single set of methods",50,100,0.370765370138018,0.1097,"Raíces"
"Romero_et_al_2025","SL12","SL12-1B","single set of methods",0,15,0.36257697773567,0.0825,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-1B","single set of methods",15,30,0.43946676339893,0.0839,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-1B","single set of methods",30,50,0.38740767429292,0.08900000000000001,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-1C","single set of methods",0,15,0.371577451444813,0.0796,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-1C","single set of methods",15,30,0.278498231613313,0.0914,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-1C","single set of methods",30,50,0.33039092055485503,0.1129,"Raíces"
"Romero_et_al_2025","SL12","SL12-2","single set of methods",0,15,0.455897678825201,0.0482,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-2","single set of methods",15,30,0.650856987394577,0.0408,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-2","single set of methods",30,50,0.647180688164295,0.0262,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3A","single set of methods",0,15,0.976314542870677,0.0224,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3A","single set of methods",15,30,0.552734197877936,0.0107,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3A","single set of methods",30,50,0.963159791028644,0.008,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3A","single set of methods",50,100,0.806148055207026,0.00349999999999999,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3B","single set of methods",0,15,0.92098531501658,0.0233,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3B","single set of methods",15,30,0.714609594631359,0.02049999999999999,"Poca raíz y una raíz grande"
"Romero_et_al_2025","SL12","SL12-3B","single set of methods",30,50,0.774995496306972,0.0112,"Poca raíz y una raíz grande"
"Romero_et_al_2025","SL12","SL12-3C","single set of methods",0,15,0.952250118427286,0.02109999999999999,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3C","single set of methods",15,30,0.797134306701732,0.0173,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-3C","single set of methods",30,50,0.851648351648352,0.00709999999999999,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-4","single set of methods",0,15,0.62936996684036,0.0227,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-4","single set of methods",15,30,0.798585290650222,0.0123,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-4","single set of methods",30,50,0.923166996937489,0.009,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-4","single set of methods",50,100,0.541943000537731,0.0291,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-5","single set of methods",0,15,0.863098057792515,0.0265,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-5","single set of methods",15,30,0.827423596626462,0.0247,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-5","single set of methods",30,50,0.473518284993695,0.0277,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-5","single set of methods",50,100,0.913694210431977,0.0139,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-6A","single set of methods",0,15,0.400568450971104,0.0578,"20% raíz"
"Romero_et_al_2025","SL12","SL12-6A","single set of methods",15,30,0.338804751972431,0.0642,"20% raíz"
"Romero_et_al_2025","SL12","SL12-6A","single set of methods",30,50,0.401639344262295,0.0745,"Raíces"
"Romero_et_al_2025","SL12","SL12-6A","single set of methods",50,100,0.633984585051085,0.0304,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-6B","single set of methods",0,15,0.653813358597821,0.05599999999999999,"Raíces"
"Romero_et_al_2025","SL12","SL12-6B","single set of methods",15,30,0.546567516096853,0.044,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-6B","single set of methods",30,50,0.534408214736084,0.0489,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-6B","single set of methods",50,100,0.574296468901237,0.04190000000000001,"Raíces"
"Romero_et_al_2025","SL12","SL12-6C","single set of methods",0,15,0.732638559924207,0.0461,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-6C","single set of methods",15,30,0.536864060941326,0.0548,"Poca raíz"
"Romero_et_al_2025","SL12","SL12-6C","single set of methods",30,50,0.452080706179067,0.061,"Poca raíz"
"Romero_et_al_2025","SL13","SL13-1A","single set of methods",0,15,0.396778777830412,0.0935,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-1A","single set of methods",15,30,0.45678788428403,0.0903,"Raíces"
"Romero_et_al_2025","SL13","SL13-1A","single set of methods",30,50,0.358584038911908,0.1101,"Raíces"
"Romero_et_al_2025","SL13","SL13-1A","single set of methods",50,100,0.372557806058433,0.1111,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-1B","single set of methods",0,15,0.37271435338702,0.0955,"Raíces"
"Romero_et_al_2025","SL13","SL13-1B","single set of methods",15,30,0.353858710438016,0.0961,"Raíces"
"Romero_et_al_2025","SL13","SL13-1B","single set of methods",30,50,0.346964510898937,0.0868,"Raíces"
"Romero_et_al_2025","SL13","SL13-1B","single set of methods",50,100,0.386180319053594,0.0938,"Raíces"
"Romero_et_al_2025","SL13","SL13-1C","single set of methods",0,15,0.393936522974893,0.1136,"Raíces"
"Romero_et_al_2025","SL13","SL13-1C","single set of methods",15,30,0.328738550829781,0.0809,"Raíces"
"Romero_et_al_2025","SL13","SL13-1C","single set of methods",30,50,0.37849036209692,0.1025,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-1C","single set of methods",50,100,0.339756228714823,0.1104,"Raíces"
"Romero_et_al_2025","SL13","SL13-2","single set of methods",0,15,0.262624348649929,0.147,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-2","single set of methods",15,30,0.287838940781718,0.13570000000000002,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-2","single set of methods",30,50,0.339128085029724,0.1117,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3A","single set of methods",0,15,0.310468972051161,0.1777,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3A","single set of methods",15,30,0.309513013512288,0.1743,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3A","single set of methods",30,50,0.344262295081967,0.1011,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3A","single set of methods",50,100,0.37560494712314,0.13119999999999998,"Raíces"
"Romero_et_al_2025","SL13","SL13-3B","single set of methods",0,15,0.372051160587399,0.1727,"Raíces"
"Romero_et_al_2025","SL13","SL13-3B","single set of methods",15,30,0.275959009703455,0.2046,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3B","single set of methods",30,50,0.32219419924338,0.1586,"Raíces"
"Romero_et_al_2025","SL13","SL13-3B","single set of methods",50,100,0.374529485570891,0.16,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3C","single set of methods",0,15,0.162955945049739,0.2052,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3C","single set of methods",15,30,0.283758048426589,0.1773,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3C","single set of methods",30,50,0.315979102864349,0.1335,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-3C","single set of methods",50,100,0.305341459042839,0.14,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-4","single set of methods",0,15,0.328564661297963,0.1806,"Poca raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-4","single set of methods",15,30,0.335449351591548,0.1485,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-4","single set of methods",30,50,0.359754999099261,0.1125,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-4","single set of methods",50,100,0.322638465674852,0.1649,"Raíces"
"Romero_et_al_2025","SL13","SL13-5","single set of methods",0,15,0.250307910942681,0.2498,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-5","single set of methods",15,30,0.247030017230434,0.2002,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-5","single set of methods",30,50,0.347504954062331,0.116,"Raíces"
"Romero_et_al_2025","SL13","SL13-5","single set of methods",50,100,0.286700125470514,0.17059999999999995,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6A","single set of methods",0,15,0.24301279014685,0.2817,"Raíces"
"Romero_et_al_2025","SL13","SL13-6A","single set of methods",15,30,0.211480910492428,0.2693,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6A","single set of methods",30,50,0.286524950459377,0.1939,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6A","single set of methods",50,100,0.326402581107725,0.16449999999999998,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6B","single set of methods",0,15,0.279298910468972,0.2686,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6B","single set of methods",15,30,0.299174752879296,0.2033,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6B","single set of methods",30,50,0.266978922716628,0.1809,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6B","single set of methods",50,100,0.314214016848898,0.1971,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6C","single set of methods",0,15,0.246423495973472,0.2702,"Raíces"
"Romero_et_al_2025","SL13","SL13-6C","single set of methods",15,30,0.23632901061032,0.2367,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6C","single set of methods",30,50,0.331021437578815,0.1469,"Raíces y una raíz grande"
"Romero_et_al_2025","SL13","SL13-6C","single set of methods",50,100,0.298888689729342,0.16920000000000002,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-1A","single set of methods",0,15,0.695689246802463,0.0208,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-1A","single set of methods",15,30,0.651945225355945,0.0263,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-1A","single set of methods",30,50,0.806521347504954,0.0266,"Raíces"
"Romero_et_al_2025","SL14","SL14-1A","single set of methods",50,100,0.676734181753002,0.0325,"Raíces"
"Romero_et_al_2025","SL14","SL14-1B","single set of methods",0,15,0.715585030791094,0.02,"Raíces"
"Romero_et_al_2025","SL14","SL14-1B","single set of methods",15,30,0.803935793960279,0.03029999999999999,"Raíces"
"Romero_et_al_2025","SL14","SL14-1B","single set of methods",30,50,0.508466942893172,0.0423,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-1B","single set of methods",50,100,0.561390930274243,0.0388,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-1C","single set of methods",0,15,0.728848886783515,0.0407,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-1C","single set of methods",15,30,0.747438106465947,0.0365,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-1C","single set of methods",30,50,0.57728337236534,0.0294,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-1C","single set of methods",50,100,0.477863416382864,0.04650000000000001,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-2","single set of methods",0,15,0.644244433917575,0.0276,"0.3% raíces"
"Romero_et_al_2025","SL14","SL14-2","single set of methods",15,30,0.498231613312778,0.0401,"Raíces"
"Romero_et_al_2025","SL14","SL14-2","single set of methods",30,50,0.587011349306431,0.0446,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-2","single set of methods",50,100,0.798350958953217,0.0293,"Raíces"
"Romero_et_al_2025","SL14","SL14-3A","single set of methods",0,15,0.688204642349597,0.0353,"0.3% raíces"
"Romero_et_al_2025","SL14","SL14-3A","single set of methods",15,30,0.464858982497506,0.0605,"Raíces"
"Romero_et_al_2025","SL14","SL14-3A","single set of methods",30,50,0.444874797333814,0.0594,"Raíces"
"Romero_et_al_2025","SL14","SL14-3A","single set of methods",50,100,0.455009858397562,0.0617,"20% raíces"
"Romero_et_al_2025","SL14","SL14-3B","single set of methods",0,15,0.400189483657035,0.0575,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-3B","single set of methods",15,30,0.55191801940691,0.0535,"Raíces"
"Romero_et_al_2025","SL14","SL14-3B","single set of methods",30,50,0.44100162132949,0.0573,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-3B","single set of methods",50,100,0.515235705323535,0.0571,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-3C","single set of methods",0,15,0.54476551397442,0.0454,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-3C","single set of methods",15,30,0.490886007073547,0.0525,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-3C","single set of methods",30,50,0.409565843992074,0.0528,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-3C","single set of methods",50,100,0.593117046065603,0.0512,"Pocas raíces"
"Romero_et_al_2025","SL14","SL14-4","single set of methods",0,15,0.403694931312174,0.06,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-4","single set of methods",15,30,0.357032737825338,0.0851,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-4","single set of methods",30,50,0.297153666006125,0.0855,"Raíces y una raíz grande"
"Romero_et_al_2025","SL14","SL14-4","single set of methods",50,100,0.56676823803549,0.047,"Raíces"
"Romero_et_al_2025","SL14","SL14-5","single set of methods",0,15,0.554618664140218,0.055,"0.3% raíces"
"Romero_et_al_2025","SL14","SL14-5","single set of methods",15,30,0.479278135485626,0.0555,"Raíces"
"Romero_et_al_2025","SL14","SL14-5","single set of methods",30,50,0.528643487659881,0.057,"10% raíces"
"Romero_et_al_2025","SL14","SL14-5","single set of methods",50,100,0.716167772002151,0.0418,"10% raíces"
"Romero_et_al_2025","SL2","SL2-1","single set of methods",0,15,0.427380388441497,0.0676,"20% raíces"
"Romero_et_al_2025","SL2","SL2-1","single set of methods",15,30,0.377799945588102,0.064,"Raíces"
"Romero_et_al_2025","SL2","SL2-1","single set of methods",30,50,0.339578454332553,0.0693,"Raíces"
"Romero_et_al_2025","SL2","SL2-1","single set of methods",50,100,0.273256856067396,0.0708,"Raíces"
"Romero_et_al_2025","SL2","SL2-2","single set of methods",0,15,0.397441970630033,0.0849,"30% raíces"
"Romero_et_al_2025","SL2","SL2-2","single set of methods",15,30,0.304888002176476,0.0827,"Raíces"
"Romero_et_al_2025","SL2","SL2-2","single set of methods",30,50,0.315438659700955,0.0857,"Raíces"
"Romero_et_al_2025","SL2","SL2-2","single set of methods",50,100,0.288044452410826,0.1019,"Raíces"
"Romero_et_al_2025","SL2","SL2-3","single set of methods",0,15,0.340596873519659,0.085,"Raíces"
"Romero_et_al_2025","SL2","SL2-3","single set of methods",15,30,0.389770563163145,0.0974,"Raíces"
"Romero_et_al_2025","SL2","SL2-3","single set of methods",30,50,0.331021437578815,0.14400000000000002,"Raíces"
"Romero_et_al_2025","SL2","SL2-3","single set of methods",50,100,0.279261516400789,0.1337,"Poca raíz"
"Romero_et_al_2025","SL2","SL2-4","single set of methods",0,15,0.694552344860256,0.0281,"Raíces"
"Romero_et_al_2025","SL2","SL2-4","single set of methods",15,30,0.614945134669448,0.0338,"Raíces y una raíz grande"
"Romero_et_al_2025","SL3","SL3-1A","single set of methods",0,15,0.220085267645666,0.08810000000000001,"Raíces"
"Romero_et_al_2025","SL3","SL3-1A","single set of methods",15,30,0.286206583839666,0.0975,"Raíces y dos raíz grande"
"Romero_et_al_2025","SL3","SL3-1A","single set of methods",30,50,0.246261934786525,0.076,"Poca raíz"
"Romero_et_al_2025","SL3","SL3-1B","single set of methods",0,15,0.340502131691142,0.0758,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-1B","single set of methods",15,30,0.296544844472658,0.0809,"Raíces y una raíz grande"
"Romero_et_al_2025","SL3","SL3-1B","single set of methods",30,50,0.343631778058008,0.0788,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL3","SL3-1C","single set of methods",0,15,0.30383704405495,0.0909,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-1C","single set of methods",15,30,0.266255554547928,0.0882,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-1C","single set of methods",30,50,0.357953521887948,0.0665,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-1C","single set of methods",50,100,0.360100376411543,0.07919999999999999,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-2","single set of methods",0,15,0.428896257697774,0.0537,"1% raíces"
"Romero_et_al_2025","SL3","SL3-2","single set of methods",15,30,0.521175296998277,0.04969999999999999,"10% raíces"
"Romero_et_al_2025","SL3","SL3-2","single set of methods",30,50,0.427760763826338,0.052,"20% raíces"
"Romero_et_al_2025","SL3","SL3-2","single set of methods",50,100,0.471589890661409,0.0555,"15% raíces"
"Romero_et_al_2025","SL3","SL3-3A","single set of methods",0,15,0.395168166745618,0.0895,"Raíces y una raíz grande"
"Romero_et_al_2025","SL3","SL3-3A","single set of methods",15,30,0.328738550829781,0.065,"Raíces y una raíz grande"
"Romero_et_al_2025","SL3","SL3-3A","single set of methods",30,50,0.332192397766168,0.08039999999999999,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL3","SL3-3B","single set of methods",0,15,0.449834201800095,0.0659,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-3B","single set of methods",15,30,0.424503491430126,0.0572,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-3B","single set of methods",30,50,0.223293100342281,0.0866,"Raíces y una raiz grande"
"Romero_et_al_2025","SL3","SL3-3B","single set of methods",50,100,0.42086395411364,0.0706,"Raíces"
"Romero_et_al_2025","SL3","SL3-3C","single set of methods",0,15,0.356039791567977,0.0718,"Raíces"
"Romero_et_al_2025","SL3","SL3-3C","single set of methods",15,30,0.411807381880838,0.05679999999999999,"Raíces"
"Romero_et_al_2025","SL3","SL3-3C","single set of methods",30,50,0.377949918933526,0.0588,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-3C","single set of methods",50,100,0.399982075640796,0.0583,"Raíces y una raíz grande"
"Romero_et_al_2025","SL3","SL3-4","single set of methods",0,15,0.401326385599242,0.0625,"Poca raíces"
"Romero_et_al_2025","SL3","SL3-4","single set of methods",15,30,0.436020676521266,0.0569,"50% raíces"
"Romero_et_al_2025","SL3","SL3-4","single set of methods",30,50,0.40235993514682,0.0641,"Raíces"
"Romero_et_al_2025","SL3","SL3-4","single set of methods",50,100,0.409930094999104,0.0642,"20% raíces"
"Romero_et_al_2025","SL3","SL3-5","single set of methods",0,15,0.322595926101374,0.0866,"30% raíces"
"Romero_et_al_2025","SL3","SL3-5","single set of methods",15,30,0.364287657567788,0.0821,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL3","SL3-5","single set of methods",30,50,0.441091695190056,0.0725,"Raíces"
"Romero_et_al_2025","SL3","SL3-6A","single set of methods",0,15,0.375556608242539,0.0639,"Raíces y una raíz grande"
"Romero_et_al_2025","SL3","SL3-6A","single set of methods",15,30,0.262900154167044,0.0683,"Poca raíces"
"Romero_et_al_2025","SL3","SL3-6A","single set of methods",30,50,0.265447667087011,0.0624,"Poca raíces"
"Romero_et_al_2025","SL3","SL3-6A","single set of methods",50,100,0.506273525721455,0.0691,"Poca raíces"
"Romero_et_al_2025","SL3","SL3-6B","single set of methods",0,15,0.382662245381336,0.0655,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-6B","single set of methods",15,30,0.350231250566791,0.0905,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-6B","single set of methods",30,50,0.366600612502252,0.0699,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-6B","single set of methods",50,100,0.373185158630579,0.0694,"Pocas raíces"
"Romero_et_al_2025","SL3","SL3-6C","single set of methods",0,15,0.357555660824254,0.08779999999999999,"Raíces"
"Romero_et_al_2025","SL3","SL3-6C","single set of methods",15,30,0.31404733835132,0.0699,"Raíces y una raíz grande"
"Romero_et_al_2025","SL3","SL3-6C","single set of methods",30,50,0.317240136912268,0.0695,"Raíces y 4  raíz grandes"
"Romero_et_al_2025","SL3","SL3-6C","single set of methods",50,100,0.415217780964331,0.0616,"Raíces"
"Romero_et_al_2025","SL4","SL4-1","single set of methods",0,15,0.413169114163903,0.0428,"10% raíz"
"Romero_et_al_2025","SL4","SL4-1","single set of methods",15,30,0.442005985308788,0.0443,"Poca raíz"
"Romero_et_al_2025","SL4","SL4-1","single set of methods",30,50,0.291839308232751,0.0542,"10% raíz"
"Romero_et_al_2025","SL4","SL4-1","single set of methods",50,100,0.40276035131744,0.0494,"5% raíz"
"Romero_et_al_2025","SL4","SL4-2","single set of methods",0,15,0.434201800094742,0.0592,"Poca raíz"
"Romero_et_al_2025","SL4","SL4-2","single set of methods",15,30,0.330461594268613,0.053,"10% raíz"
"Romero_et_al_2025","SL4","SL4-2","single set of methods",30,50,0.426769951360115,0.0538,"5% raíz"
"Romero_et_al_2025","SL4","SL4-3","single set of methods",0,15,0.28252013263856,0.0968,"Raíces"
"Romero_et_al_2025","SL4","SL4-3","single set of methods",15,30,0.320939512106647,0.0766,"Raíces"
"Romero_et_al_2025","SL4","SL4-3","single set of methods",30,50,0.259592866150243,0.0866,"Raíces y una raíz grande"
"Romero_et_al_2025","SL4","SL4-3","single set of methods",50,100,0.297185875604947,0.0821,"Raíces"
"Romero_et_al_2025","SL4","SL4-4","single set of methods",0,15,0.333301752723828,0.1065,"Raíces"
"Romero_et_al_2025","SL4","SL4-4","single set of methods",15,30,0.230162328829237,0.1038,"Raíces"
"Romero_et_al_2025","SL4","SL4-4","single set of methods",30,50,0.228967753557918,0.086,"Raíces"
"Romero_et_al_2025","SL4","SL4-4","single set of methods",50,100,0.334916651729701,0.0713,"20% raíces"
"Romero_et_al_2025","SL4","SL4-5","single set of methods",0,15,0.236286120322122,0.1007,"Raíces"
"Romero_et_al_2025","SL4","SL4-5","single set of methods",15,30,0.222091230615761,0.0993,"Raíces"
"Romero_et_al_2025","SL4","SL4-5","single set of methods",30,50,0.258602053684021,0.08839999999999999,"Raíces"
"Romero_et_al_2025","SL4","SL4-5","single set of methods",50,100,0.324251658003226,0.0993,"Raíces"
"Romero_et_al_2025","SL4","SL4-6","single set of methods",0,15,0.339459971577451,0.0922,"Raíces"
"Romero_et_al_2025","SL4","SL4-6","single set of methods",15,30,0.371633263807019,0.0962,"Raíces"
