"study_id","site_id","species_code","code_type"
"Romero_et_al_2025_Montijo","Rio Guabo","Rhizophora racemosa","Genus species"
"Romero_et_al_2025_Montijo","Palmas Bella","Rhizophora racemosa","Genus species"
"Romero_et_al_2025_Montijo","Saino","Rhizophora racemosa","Genus species"
"Romero_et_al_2025_Montijo","Rio Cañaza","Rhizophora racemosa","Genus species"
