study_id,site_id,site_description,vegetation_class,vegetation_method
Bossert_et_al_2025_Berg_Breede,Berg,"South Africa, Western Cape, Cool Temperate, Estuary, Permanantly Open",emergent,field observation
Bossert_et_al_2025_Berg_Breede,Breede,"South Africa, Western Cape, Cool Temperate, Estuary, Periodically Open",emergent,field observation
