study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Ndhlovu_et_al_2024,0,5,Swartkops1_C45,1.4135,0.03046
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Ndhlovu_et_al_2024,5,10,Swartkops1_C410,1.09147,0.03201
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Ndhlovu_et_al_2024,10,20,Swartkops1_C420,1.54712,0.02356
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Ndhlovu_et_al_2024,20,30,Swartkops1_C430,1.51242,0.02603
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Ndhlovu_et_al_2024,30,50,Swartkops1_C450,1.4148,0.02867
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Ndhlovu_et_al_2024,0,5,Swartkops2_C15,1.0261,4.9e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Ndhlovu_et_al_2024,5,10,Swartkops2_C110,1.2449,0.00257
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Ndhlovu_et_al_2024,10,20,Swartkops2_C120,1.3238,2.4e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Ndhlovu_et_al_2024,20,30,Swartkops2_C130,1.4029,0.00184
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Ndhlovu_et_al_2024,30,50,Swartkops2_C150,1.50724,9.6e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Ndhlovu_et_al_2024,0,5,Swartkops2_C25,1.45655,1.8e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Ndhlovu_et_al_2024,5,10,Swartkops2_C210,1.64215,4e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Ndhlovu_et_al_2024,10,20,Swartkops2_C220,1.54964,0.00189
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Ndhlovu_et_al_2024,20,30,Swartkops2_C230,1.49962,0.00275
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Ndhlovu_et_al_2024,30,50,Swartkops2_C250,1.49542,8.6e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Ndhlovu_et_al_2024,0,5,Swartkops2_C35,1.5091,0.00483
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Ndhlovu_et_al_2024,5,10,Swartkops2_C310,1.515,0.00633
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Ndhlovu_et_al_2024,10,20,Swartkops2_C320,1.5306,0.00171
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Ndhlovu_et_al_2024,20,30,Swartkops2_C330,1.49608,0.00203
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Ndhlovu_et_al_2024,30,50,Swartkops2_C350,1.50826,4e-5
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Ndhlovu_et_al_2024,0,5,Swartkops2_C45,1.4349,8.3e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Ndhlovu_et_al_2024,5,10,Swartkops2_C410,0.9945,0.0017
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Ndhlovu_et_al_2024,10,20,Swartkops2_C420,1.45752,9.9e-4
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Ndhlovu_et_al_2024,20,30,Swartkops2_C430,1.48846,0.00215
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Ndhlovu_et_al_2024,30,50,Swartkops2_C450,1.46486,7.5e-4
