iter	RMSE
0	0.0838352465
1	0.07862353371
2	0.07323957779
3	0.0685303843
4	0.06578667795
5	0.0623901859
6	0.05974598475
7	0.05714301082
8	0.05474348113
9	0.05234333164
10	0.05048953051
11	0.04923222863
12	0.04852898151
13	0.04584394372
14	0.04499187706
15	0.04324421687
16	0.04219502214
17	0.04061669319
18	0.03876567303
19	0.03788791281
20	0.03674924531
21	0.03574860782
22	0.03427561064
23	0.03343287538
24	0.03250135214
25	0.03166620931
26	0.03082377112
27	0.02987601731
28	0.02908831077
29	0.02882968527
30	0.02810152619
31	0.02740580989
32	0.02641877077
33	0.02604550015
34	0.02517573115
35	0.02464909812
36	0.02410954519
37	0.02370570589
38	0.02314752945
39	0.02262144159
40	0.02205275077
41	0.02169977893
42	0.02127961322
43	0.02098419126
44	0.02070969501
45	0.02043738973
46	0.02023876334
47	0.01993964609
48	0.01966130612
49	0.01934337103
50	0.01898148318
51	0.01868490989
52	0.01840738563
53	0.01819364852
54	0.01797573506
55	0.01780556699
56	0.01767683904
57	0.01758405634
58	0.01747894909
59	0.01733481744
60	0.01719609471
61	0.01711742833
62	0.01696402835
63	0.01685138078
64	0.01676916566
65	0.01671948007
66	0.01664055739
67	0.01655874523
68	0.01647306015
69	0.01639873538
70	0.0163549118
71	0.0163190511
72	0.01627382062
73	0.01624467014
74	0.0162114287
75	0.01617735641
76	0.01613080587
77	0.01608925067
78	0.01605328663
79	0.01601448651
80	0.01598795013
81	0.01596970949
82	0.01595253697
83	0.01592756315
84	0.01589000389
85	0.01587509119
86	0.015852686
87	0.0158276463
88	0.01581071309
89	0.01579430198
90	0.01578042526
91	0.01577155454
92	0.01575190629
93	0.01573683117
94	0.01571989138
95	0.01571110039
96	0.01570338787
97	0.01569033109
98	0.01568073517
99	0.01567183883
100	0.015664592
101	0.0156555506
102	0.0156518037
103	0.01564765477
104	0.01564568268
105	0.01563851784
106	0.01563257396
107	0.01562532902
108	0.01562069872
109	0.01561490037
110	0.01561107806
111	0.01560784252
112	0.01560287364
113	0.01560023104
114	0.01559857691
115	0.01559395835
116	0.0155913197
117	0.01558670621
118	0.01558441567
119	0.01558058301
120	0.01557849208
121	0.01557656361
122	0.01557298655
123	0.01557126823
124	0.01556934536
125	0.01556814993
126	0.01556690942
127	0.01556596191
128	0.01556494295
129	0.01556351783
130	0.01556260034
131	0.01556154805
132	0.01556063256
133	0.01555950331
134	0.0155588374
135	0.01555814593
136	0.01555697118
137	0.0155561824
138	0.01555487948
139	0.01555407167
140	0.01555316343
141	0.0155521732
142	0.01555170589
143	0.01555101054
144	0.0155506062
145	0.01555006341
146	0.01554963588
147	0.01554934244
148	0.01554892594
149	0.01554850798
150	0.01554799252
151	0.01554745755
152	0.0155472078
153	0.01554686209
154	0.01554639764
155	0.015546135
156	0.01554588196
157	0.01554550891
158	0.01554530158
159	0.01554512649
160	0.0155449288
161	0.01554467101
162	0.01554454478
163	0.01554419581
164	0.01554406558
165	0.0155437841
166	0.01554366219
167	0.01554343968
168	0.01554332089
169	0.01554314979
170	0.01554301173
171	0.01554289568
172	0.01554274424
173	0.01554263751
174	0.01554253253
175	0.01554244597
176	0.01554231392
177	0.01554218889
178	0.01554205359
179	0.01554188306
180	0.01554180717
181	0.01554173647
182	0.01554159643
183	0.01554155201
184	0.01554146145
185	0.01554139282
186	0.01554134159
187	0.01554126959
188	0.01554124851
189	0.01554121225
190	0.01554117355
191	0.01554112576
192	0.0155411034
193	0.01554106167
194	0.01554103047
195	0.01554096301
196	0.01554093415
197	0.01554090731
198	0.01554085294
199	0.01554083546
200	0.01554082472
201	0.01554080039
202	0.0155407645
203	0.01554073425
204	0.01554069582
205	0.01554067448
206	0.01554063009
207	0.01554061575
208	0.01554059077
209	0.01554057964
210	0.01554056862
211	0.01554055967
212	0.0155405478
213	0.01554053243
214	0.0155405158
215	0.01554050108
216	0.01554048255
217	0.01554046935
218	0.01554045148
219	0.01554044822
220	0.01554043955
221	0.01554043055
222	0.01554041901
223	0.01554040452
224	0.01554039607
225	0.01554039028
226	0.01554037943
227	0.01554036819
228	0.01554036407
229	0.01554035633
230	0.01554035095
231	0.01554034261
232	0.01554033719
233	0.01554032307
234	0.01554031416
235	0.0155403069
236	0.01554029951
237	0.01554029545
238	0.01554029344
239	0.01554028825
240	0.01554028311
241	0.01554027984
242	0.01554027556
243	0.01554027217
244	0.0155402657
245	0.0155402638
246	0.01554026175
247	0.01554026068
248	0.01554025689
249	0.01554025445
250	0.01554025154
251	0.01554024829
252	0.01554024631
253	0.01554024375
254	0.01554024129
255	0.01554023687
256	0.01554023584
257	0.01554023388
258	0.01554022951
259	0.01554022682
260	0.0155402252
261	0.01554022341
262	0.01554022091
263	0.01554021877
264	0.01554021649
265	0.01554021479
266	0.015540213
267	0.01554021147
268	0.01554021012
269	0.01554020797
270	0.01554020571
271	0.01554020501
272	0.01554020398
273	0.01554020252
274	0.01554020174
275	0.01554020031
276	0.01554019869
277	0.0155401977
278	0.01554019669
279	0.01554019602
280	0.01554019564
281	0.01554019497
282	0.01554019413
283	0.0155401938
284	0.01554019361
285	0.01554019296
286	0.01554019189
287	0.01554019135
288	0.01554019082
289	0.01554019046
290	0.01554018994
291	0.01554018946
292	0.01554018887
293	0.01554018827
294	0.01554018794
295	0.01554018746
296	0.01554018731
297	0.01554018698
298	0.01554018657
299	0.01554018633
300	0.01554018622
301	0.01554018596
302	0.01554018576
303	0.01554018556
304	0.01554018532
305	0.01554018519
306	0.01554018491
307	0.0155401848
308	0.01554018469
309	0.01554018454
310	0.01554018434
311	0.01554018428
312	0.01554018418
313	0.015540184
314	0.01554018385
315	0.01554018371
316	0.01554018358
317	0.01554018344
318	0.01554018331
319	0.01554018325
320	0.01554018312
321	0.01554018302
322	0.0155401829
323	0.01554018279
324	0.01554018269
325	0.01554018261
326	0.01554018254
327	0.01554018248
328	0.01554018242
329	0.01554018235
330	0.0155401822
331	0.01554018215
332	0.0155401821
333	0.01554018208
334	0.01554018202
335	0.01554018197
336	0.01554018192
337	0.01554018186
338	0.01554018185
339	0.01554018182
340	0.01554018177
341	0.01554018176
342	0.01554018172
343	0.0155401817
344	0.01554018167
345	0.01554018163
346	0.01554018159
347	0.01554018157
348	0.01554018155
349	0.01554018152
350	0.01554018151
351	0.01554018148
352	0.01554018147
353	0.01554018145
354	0.01554018142
355	0.01554018138
356	0.01554018137
357	0.01554018136
358	0.01554018135
359	0.01554018132
360	0.0155401813
361	0.01554018129
362	0.01554018128
363	0.01554018127
364	0.01554018126
365	0.01554018124
366	0.01554018124
367	0.01554018122
368	0.0155401812
369	0.01554018119
370	0.01554018117
371	0.01554018117
372	0.01554018116
373	0.01554018116
374	0.01554018115
375	0.01554018114
376	0.01554018114
377	0.01554018113
378	0.01554018112
379	0.01554018112
380	0.01554018111
381	0.01554018111
382	0.0155401811
383	0.01554018109
384	0.01554018109
385	0.01554018108
386	0.01554018108
387	0.01554018107
388	0.01554018107
389	0.01554018107
390	0.01554018106
391	0.01554018106
392	0.01554018106
393	0.01554018105
394	0.01554018105
395	0.01554018104
396	0.01554018104
397	0.01554018104
398	0.01554018103
399	0.01554018103
400	0.01554018103
401	0.01554018103
402	0.01554018103
403	0.01554018102
404	0.01554018102
405	0.01554018102
406	0.01554018102
407	0.01554018102
408	0.01554018102
409	0.01554018101
410	0.01554018101
411	0.01554018101
412	0.01554018101
413	0.01554018101
414	0.01554018101
415	0.01554018101
416	0.015540181
417	0.015540181
418	0.015540181
419	0.015540181
420	0.015540181
421	0.015540181
422	0.015540181
423	0.015540181
424	0.015540181
425	0.015540181
426	0.015540181
427	0.015540181
428	0.015540181
429	0.015540181
430	0.01554018099
431	0.01554018099
432	0.01554018099
433	0.01554018099
434	0.01554018099
435	0.01554018099
436	0.01554018099
437	0.01554018099
438	0.01554018099
439	0.01554018099
440	0.01554018099
441	0.01554018099
442	0.01554018099
443	0.01554018099
444	0.01554018099
445	0.01554018099
446	0.01554018099
447	0.01554018099
448	0.01554018099
449	0.01554018099
450	0.01554018099
451	0.01554018099
452	0.01554018099
453	0.01554018099
454	0.01554018099
455	0.01554018099
456	0.01554018099
457	0.01554018099
458	0.01554018098
